symbol,price,rsi,vol_ratio,sma_20,atr,signal,timestamp
POWERGRID,299.0,54.5,1.3,Below,9.2,SKIP,2026-03-24T20:36:51.980350
ONGC,268.05,51.1,0.7,Below,8.3,SKIP,2026-03-24T20:36:51.980351
COALINDIA,442.1,49.2,1.4,Below,15.6,SKIP,2026-03-24T20:36:51.980353
TATASTEEL,190.79,45.6,0.9,Below,7.0,SKIP,2026-03-24T20:36:51.980354
HINDALCO,854.65,36.8,0.5,Below,36.0,SKIP,2026-03-24T20:36:51.980355
JSWSTEEL,1133.7,42.1,0.7,Below,41.9,SKIP,2026-03-24T20:36:51.980356
SUNPHARMA,1753.3,48.5,0.7,Below,35.6,SKIP,2026-03-24T20:36:51.980357
DRREDDY,1259.6,44.7,1.7,Below,32.3,SKIP,2026-03-24T20:36:51.980358
CIPLA,1219.4,26.0,0.6,Below,26.2,SKIP,2026-03-24T20:36:51.980359
APOLLOHOSP,7413.0,47.1,1.4,Below,194.8,SKIP,2026-03-24T20:36:51.980360
ADANIENT,1817.9,26.9,5.8,Below,66.4,SKIP,2026-03-24T20:36:51.980361
ADANIPORTS,1344.2,39.3,1.1,Below,48.9,SKIP,2026-03-24T20:36:51.980362
TITAN,3899.5,36.1,1.5,Below,123.7,SKIP,2026-03-24T20:36:51.980363
ULTRACEMCO,10764.0,37.1,1.0,Below,389.2,SKIP,2026-03-24T20:36:51.980364
GRASIM,2549.4,36.2,2.0,Below,78.8,SKIP,2026-03-24T20:36:51.980365
ASIANPAINT,2217.3,41.5,1.3,Below,65.3,SKIP,2026-03-24T20:36:51.980366
DIVISLAB,6026.0,40.9,0.9,Below,151.5,SKIP,2026-03-24T20:36:51.980368
EICHERMOT,6871.0,41.0,1.2,Below,249.5,SKIP,2026-03-24T20:36:51.980369
INDUSINDBK,797.25,34.1,1.5,Below,31.2,SKIP,2026-03-24T20:36:51.980370
RELIANCE,1411.8,50.9,1.0,Above,33.9,SKIP,2026-03-24T20:40:11.875505
HDFCBANK,764.9,27.7,1.2,Below,26.4,SKIP,2026-03-24T20:40:11.875512
ICICIBANK,1251.2,36.6,1.1,Below,33.2,SKIP,2026-03-24T20:40:11.875513
SBIN,1030.8,32.4,1.8,Below,34.9,SKIP,2026-03-24T20:40:11.875514
KOTAKBANK,366.85,34.4,1.0,Below,9.9,SKIP,2026-03-24T20:40:11.875515
AXISBANK,1192.7,35.7,1.1,Below,37.7,SKIP,2026-03-24T20:40:11.875516
BAJFINANCE,849.0,36.3,1.9,Below,32.6,SKIP,2026-03-24T20:40:11.875517
BAJAJFINSV,1704.4,30.1,1.2,Below,48.6,SKIP,2026-03-24T20:40:11.875518
HDFCLIFE,603.0,26.7,1.1,Below,17.6,SKIP,2026-03-24T20:40:11.875519
SBILIFE,1836.0,32.3,1.3,Below,49.6,SKIP,2026-03-24T20:40:11.875520
TCS,2398.8,30.1,0.9,Below,60.9,SKIP,2026-03-24T20:40:11.875520
INFY,1278.3,41.7,1.0,Above,35.8,SKIP,2026-03-24T20:40:11.875521
WIPRO,188.74,30.8,0.7,Below,5.1,SKIP,2026-03-24T20:40:11.875522
HCLTECH,1373.3,45.2,1.0,Above,37.7,SKIP,2026-03-24T20:40:11.875523
TECHM,1432.7,54.0,1.7,Above,41.4,SKIP,2026-03-24T20:40:11.875524
LTIM,4105.6,27.6,1.7,Below,153.3,SKIP,2026-03-24T20:40:11.875524
HINDUNILVR,2085.0,31.2,0.9,Below,49.7,SKIP,2026-03-24T20:40:11.875525
ITC,291.25,30.3,1.5,Below,6.4,SKIP,2026-03-24T20:40:11.875526
NESTLEIND,1183.2,33.5,0.8,Below,26.5,SKIP,2026-03-24T20:40:11.875527
BRITANNIA,5513.5,30.3,1.5,Below,139.2,SKIP,2026-03-24T20:40:11.875528
TATACONSUM,1053.1,38.3,1.1,Below,27.5,SKIP,2026-03-24T20:40:11.875528
MARUTI,12464.0,29.6,1.0,Below,434.3,SKIP,2026-03-24T20:40:11.875529
SHRIRAMFIN,903.6,36.0,1.5,Below,50.0,SKIP,2026-03-24T20:40:11.875530
M&M,3031.3,39.9,1.0,Below,121.6,SKIP,2026-03-24T20:40:11.875531
BAJAJ-AUTO,8898.0,40.1,1.3,Below,297.3,SKIP,2026-03-24T20:40:11.875532
HEROMOTOCO,5253.0,44.4,0.9,Below,196.9,SKIP,2026-03-24T20:40:11.875532
BHARTIARTL,1802.1,36.3,0.7,Below,41.3,SKIP,2026-03-24T20:40:11.875533
NTPC,375.55,51.0,0.6,Below,10.4,SKIP,2026-03-24T20:40:11.875534
POWERGRID,299.0,54.5,1.3,Below,9.2,SKIP,2026-03-24T20:40:11.875535
ONGC,268.05,51.1,0.7,Below,8.3,SKIP,2026-03-24T20:40:11.875536
COALINDIA,442.1,49.2,1.4,Below,15.6,SKIP,2026-03-24T20:40:11.875536
TATASTEEL,190.79,45.6,0.9,Below,7.0,SKIP,2026-03-24T20:40:11.875537
HINDALCO,854.65,36.8,0.5,Below,36.0,SKIP,2026-03-24T20:40:11.875538
